[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Dispatching client demo passenger databus.passenger.demo.demo_passenger_1
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating database databus.database.json_db.json_database
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating driver databus.driver.primal_driver
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Creating ticket
[2020-04-13T09:15:44.636565][databus.dispatcher.primal_dispatcher][info] Driving
[2020-04-13T09:15:44.636565][databus.driver.primal_driver][info] Driving...
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:37:17.116182_52ef6f4a-7c0a-11ea-a9b4-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:54:51.332536_6587ad9e-7c04-11ea-a907-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:22:57.925402_f10ceb40-7bff-11ea-9817-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:52:29.437011_72b88b70-7c0c-11ea-8e91-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:08:47.123058_57b330d8-7c06-11ea-9eb1-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:07:21.273914_2487a662-7c06-11ea-af8f-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T10:24:02.913434_6b6a7672-7bc5-11ea-b440-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:48:22.631609_7dd89fd0-7c03-11ea-bf1f-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:31:15.839233_7b98f264-7c09-11ea-a784-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T10:21:30.674867_10acb358-7bc5-11ea-8727-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:51:05.280341_408f41c0-7c0c-11ea-90d8-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T16:57:39.233644_67d6f2ba-7bfc-11ea-b994-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T17:21:57.939324_cd4bc532-7bff-11ea-9817-a82066455b02.txt
[2020-04-13T09:15:44.636565][databus.database.json_db.json_log][info] Deleting data/json_db/clients/demo/log/2020-04-11T18:46:20.295267_96b1fc06-7c0b-11ea-bcf2-a82066455b02.txt
